"","sample_info$diet","sample_info$treatment","interaction","Pval_d1t1_vs_d1t2","log2FoldChange_d1t1_vs_d1t2","Pval_d1t1_vs_d2t1","log2FoldChange_d1t1_vs_d2t1","Pval_d1t1_vs_d2t2","log2FoldChange_d1t1_vs_d2t2","Pval_d1t2_vs_d2t1","log2FoldChange_d1t2_vs_d2t1","Pval_d1t2_vs_d2t2","log2FoldChange_d1t2_vs_d2t2","Pval_d2t1_vs_d2t2","log2FoldChange_d2t1_vs_d2t2"
"ENSMUSG00000062248",0.320937807802022,0.153427890535837,0.700530397307483,0.861119104498683,0.24826735073734,0.969183985997933,0.136616605839702,0.316302293902774,0.644488412703731,0.986506149182282,-0.111650744897638,0.750917173727246,0.396221061966391,0.55430819756239,0.50787180686403
"ENSMUSG00000035139",0.0750576969824783,0.821739533451555,0.764481781461516,0.981025366885354,0.117860601133862,0.676559644956929,-0.304536505966937,0.644892178953396,-0.317476277372746,0.455691119050641,-0.422397107100799,0.426481784917273,-0.435336878506609,0.999942419197191,-0.0129397714058094
"ENSMUSG00000113399",0.0733826005547917,0.0157026684733375,0.957243076452415,0.247599152914454,1.17528131945719,0.520980132310091,0.732965673133539,0.0226326694526013,3.91094673668095,0.943616722657721,-0.442315646323651,0.566242211839963,2.73566541722376,0.278161211213112,3.17798106354741
"ENSMUSG00000113737",0.161990529825273,0.0413531696785432,0.311033118984557,0.840048553031802,0.514211793338772,0.990537548398831,0.163958040058128,0.0809118026015323,4.11956241913218,0.950036252012008,-0.350253753280644,0.319718818157358,3.60535062579341,0.137594404159068,3.95560437907405
"ENSMUSG00000021460",0.351946461601922,0.000437428931864469,0.184773594101608,0.183123197649006,0.760996448838404,0.990053139537588,-0.0811959534779189,0.007748429322743,1.87655862214084,0.109021745968518,-0.842192402316323,0.376460462864064,1.11556217330244,0.00418893790856889,1.95775457561876
"ENSMUSG00000021468",0.32953346434806,0.544896161258388,0.034166524534862,0.203177357115498,0.43016183264569,0.128288085999002,0.497838919066924,0.666117848546624,0.222148654309349,0.992546157184385,0.0676770864212344,0.791317595024553,-0.208013178336341,0.635519068094889,-0.275690264757575
"ENSMUSG00000021474",0.870192398301884,0.000630431293388866,0.126023570408409,0.28606305928201,0.754115873897861,0.738155672076691,-0.292704201906821,0.0306814733598449,1.66022143924609,0.0484630697374917,-1.04682007580468,0.600498033782038,0.906105565348232,0.00388273778486248,1.95292564115291
"ENSMUSG00000025867",0.0882311924002126,0.200973000695641,0.263156495330498,0.999305586905441,0.101156989553847,0.193890906409551,-1.10986449688807,0.985885263101169,-0.24800319338772,0.158132366657265,-1.21102148644192,0.965911087219756,-0.349160182941567,0.325799288775175,0.861861303500352
"ENSMUSG00000025872",0.988009219737133,0.310285530343299,0.825192780601699,0.936010129769238,0.144288229708885,0.998191817366979,-0.0394462453790982,0.883586400256219,0.183382736321722,0.874607896185358,-0.183734475087983,0.998794624326806,0.0390945066128369,0.8051409910494,0.222828981700819
"ENSMUSG00000043183",0.358552228097431,0.0436092230485653,0.735564782235332,0.312612466751977,-0.705781184068016,0.799090449221546,-0.401542949184608,0.160606916889657,-0.832540603345755,0.814734763646722,0.304238234883407,0.973281787664806,-0.12675941927774,0.572329570938507,-0.430997654161147
"ENSMUSG00000025871",0.0584817758315945,0.00133882488196161,0.505726603076826,0.0246672352248798,0.669161233187418,0.258033223214651,0.361009359226956,0.0035383895806681,0.947919330788162,0.575870556221989,-0.308151873960462,0.773779203075027,0.278758097600744,0.149586466187481,0.586909971561206
"ENSMUSG00000025870",0.439932944777324,0.271624041165742,0.00556030199745627,0.483500797005133,0.477796916525018,0.0536848937304578,1.13854423824892,0.994614609741917,-0.0667690248506144,0.537504617893015,0.660747321723906,0.353863647860363,-0.544565941375633,0.0334013273437501,-1.20531326309954
"ENSMUSG00000025869",0.0254789660354029,0.0328601739861215,0.0791185149275543,0.0399264353391348,0.492279300390912,0.0334647790833524,0.510203372016757,0.017528380495903,0.576635595794842,0.999723408936944,0.0179240716258444,0.974960082718688,0.0843562954039302,0.987642183949475,0.0664322237780854
"ENSMUSG00000047547",0.026863183712278,0.597818913396618,0.227052386974606,0.594501921087846,0.321956463845549,0.0799831224558726,0.765250340880454,0.193906966271846,0.581254321540333,0.550771260255625,0.443293877034905,0.837161954292242,0.259297857694784,0.956062169658873,-0.183996019340121
"ENSMUSG00000025873",0.0268814296497656,0.238743847611371,0.000385501279135898,0.140404646439856,0.274198773301744,0.000856914431922151,0.662391267599053,0.826199526824244,0.0964016088316781,0.0834737150627922,0.38819249429731,0.494722518908099,-0.177797164470066,0.00484597054600411,-0.565989658767375
"ENSMUSG00000025878",0.0964902829436799,0.00614810599538849,0.0651537947585198,0.839580263989597,0.171197682234288,0.0746465728123804,-0.44061720509008,0.761869884869621,0.204774423379688,0.0147659131512424,-0.611814887324368,0.998706543233213,0.0335767411454,0.0108694147751363,0.645391628469768
"ENSMUSG00000005320",0.0135386190126576,0.50319553865065,0.68195259438342,0.862620585899842,0.179221982225446,0.150278888994082,0.595657907174396,0.108017264933776,0.658838970238329,0.47289373752681,0.41643592494895,0.372119615484052,0.479616988012883,0.997496105584852,0.0631810630639333
"ENSMUSG00000021488",0.145908669507901,0.00210673305992288,0.0397828856415348,0.747963011816181,-0.21413107958852,0.957478103896678,0.11993277495996,0.010026286419345,-0.663046177380945,0.455691054592953,0.33406385454848,0.0726436437057818,-0.448915097792425,0.00361164382371171,-0.782978952340905
