,X1,X2,X3,X4,Y1,Y2,Y3,Y4
ENSMUSG00000026527,1365.441204,1289.940113,1317.429038,895.2411796,1316.8413,1259.30284,1332.597589,1311.39318
ENSMUSG00000104343,16.09557411,34.03766197,16.93353519,53.4472346,33.94435496,31.3874575,8.170432797,27.58018221
ENSMUSG00000026526,1534.444732,1473.219831,1382.905374,1682.560059,1623.338858,1367.732239,1335.048719,1354.987661
ENSMUSG00000026525,63.04099859,69.82084507,75.63645718,80.1708519,77.87234373,56.11696946,68.6316355,66.72624727
ENSMUSG00000078185,193.1468893,166.6972676,126.4370628,83.25434621,209.65631,177.8622591,200.9926468,172.5985596
ENSMUSG00000055214,205.2185699,196.3711268,134.3393792,271.3474987,170.7201382,160.7418278,168.3109156,129.0040781
ENSMUSG00000104157,13.41297842,15.70969014,18.06243754,12.33397722,7.986907049,15.21816121,22.87721183,27.58018221
ENSMUSG00000057335,1133.396677,921.6351549,743.946646,466.6354713,1035.302826,1116.632579,969.0133297,1035.591358
ENSMUSG00000104154,14.75427627,12.21864789,2.257804692,16.44530295,15.9738141,21.87610674,17.97495215,6.227783079
ENSMUSG00000026504,641.1403687,602.2047887,618.6384856,852.0722593,652.9296513,586.8503417,638.9278447,618.3298914
ENSMUSG00000102211,10.73038274,12.21864789,20.32024223,30.83494304,39.93453525,16.16929629,16.34086559,18.68334924
ENSMUSG00000103251,16.09557411,8.727605633,6.773414076,23.640123,16.97217748,14.26702613,7.353389517,19.57303253
ENSMUSG00000019699,2121.933187,1927.055324,1490.151097,944.5770884,1744.140827,1750.088539,1996.036732,1602.319618
ENSMUSG00000103646,8.047787054,18.32797183,5.64451173,25.69578587,27.95417467,7.609080605,13.07269248,31.13891539
ENSMUSG00000063659,3624.18677,3393.29307,3078.516698,2455.489297,3738.870862,3997.620723,3689.767451,3256.240867
ENSMUSG00000015961,1605.533517,1427.836282,1387.420983,906.5473254,1354.779108,1472.357097,1318.707853,1377.229744
ENSMUSG00000091476,42.92153096,37.52870422,34.99597273,35.97410021,27.95417467,34.24086272,46.57146694,59.6087809
ENSMUSG00000104097,28.16725469,24.43729577,20.32024223,17.47313439,21.96399438,16.16929629,11.43860592,19.57303253
ENSMUSG00000026502,390.3176721,371.796,312.7059498,189.120984,375.3846313,347.1643026,433.0329382,375.4463513
ENSMUSG00000086350,49.62802017,48.87459155,40.64048446,39.05759452,46.92307891,47.55675378,64.5464191,43.59448155
ENSMUSG00000026500,122.0581037,128.2958028,138.8549886,146.9798952,170.7201382,119.8430195,122.556492,94.30642948
ENSMUSG00000039630,8176.551647,7696.875408,6389.587278,5610.931802,6517.316152,7849.717779,7568.2719,7986.686957
ENSMUSG00000104279,33.53244606,41.01974648,31.60926569,41.11325739,63.89525639,56.11696946,40.85216399,46.26353144
ENSMUSG00000026495,374.222098,384.0146479,382.6978953,561.1959633,488.1996934,446.0823505,400.3512071,456.4075313
ENSMUSG00000026494,265.5769728,241.754676,205.460227,242.5682186,220.6383072,276.780307,220.6016855,216.1930412
ENSMUSG00000055067,583.4645614,528.0201408,626.540802,557.0846376,573.0605808,556.4140192,566.2109928,571.1766767
ENSMUSG00000026492,297.768121,304.5934366,219.0070551,131.5624236,238.6088481,248.2462547,221.4187288,257.1184728
ENSMUSG00000038949,977.8061271,772.3930986,716.8529897,551.9454804,859.5908712,859.8261084,861.9806601,739.3268198
ENSMUSG00000038936,1199.120271,1170.371915,1008.109795,1162.477353,1358.772562,1077.636041,960.8428969,1212.638334
ENSMUSG00000026491,961.710553,787.2300281,587.0292199,476.9137857,682.8805527,774.2239516,810.5069335,715.3053708
ENSMUSG00000026490,4249.231565,3596.646282,3299.781557,2132.750227,3004.075414,3693.257499,3860.529497,3564.071288
ENSMUSG00000026489,623.7034967,717.4091831,824.0987126,852.0722593,830.6383331,691.4752,732.0707786,716.1950541
ENSMUSG00000010609,348.737439,344.7404225,463.9788642,620.8101865,378.3797214,408.9880825,351.3286103,347.8661691
ENSMUSG00000055676,87.18435975,79.42121126,76.76535953,155.2025466,101.8330649,67.53059037,93.14293389,88.0786464
ENSMUSG00000038855,777.9527486,734.8643943,824.0987126,728.7324872,974.40266,686.7195246,776.1911157,737.5474532
ENSMUSG00000104388,4.023893527,13.96416901,9.031218768,39.05759452,4.991816906,12.36475598,11.43860592,8.007149673
ENSMUSG00000053963,4135.221248,4012.08031,3614.745312,2088.553475,3938.543539,3691.355228,3954.489474,3807.844511
ENSMUSG00000104210,2.682595685,11.34588732,16.93353519,59.61422321,44.92635215,32.33859257,23.69425511,36.47701518
ENSMUSG00000026496,1514.325264,1427.836282,1368.229643,1230.314227,1507.528706,1291.641433,1428.191653,1484.881423
ENSMUSG00000058729,68.40618996,44.51078873,99.34340645,35.97410021,70.88380006,67.53059037,74.35093845,76.51276354
ENSMUSG00000026499,783.31794,576.8947324,588.1581223,479.99728,642.9460174,708.5956313,598.0756807,677.9386723
ENSMUSG00000103649,26.82595685,32.29214084,57.57401965,71.94820043,44.92635215,40.89880825,22.87721183,57.8294143
ENSMUSG00000060743,1298.376311,1231.465155,1216.956729,1163.505184,1625.335584,1223.159707,1172.457106,1279.364581
ENSMUSG00000097347,40.23893527,68.9480845,54.18731261,65.78121182,62.89689301,71.33513067,53.10781318,79.18181343
ENSMUSG00000073485,14.75427627,12.21864789,11.28902346,18.50096582,18.96890424,21.87610674,15.52382231,15.12461605
