,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5
ENSMUSG00000025465,5871.36318,7163.664264,6750.676039,3782.823636,4149.934369,2206.819481,2239.825182,8176.566113,2770.763276,2118.265723,2545.097571,5625.693763,2812.036759,5600.560407,2649.818552,906.1298814,672.0212126,2976.670127,1107.138159,2201.533851
ENSMUSG00000025464,327.892899,362.6896868,469.9025162,275.1694251,474.9354299,231.8759599,276.192613,377.6643909,374.5465624,272.1916577,489.7723212,505.5159666,381.362923,430.4239573,410.9284564,162.6386967,271.358159,222.6362273,210.9482663,306.4052593
ENSMUSG00000039018,298.1745094,297.5358509,374.8949036,287.2647845,340.979283,290.0266709,346.4521374,463.497207,336.6512632,446.7016317,197.6274279,303.9597612,308.0555793,357.2140174,323.8294901,247.8303949,152.5251397,305.8277001,298.7299642,123.6477916
ENSMUSG00000045733,8.915516891,19.54615079,20.5421865,6.047679673,14.88401632,25.44093604,14.53645332,22.44858268,14.10057647,38.41414523,46.39948306,11.37817288,13.17884831,3.786721032,46.89944339,4.170222992,17.75665806,42.78418602,15.6510004,27.74535812
ENSMUSG00000025479,138062.7227,102614.0339,105294.1125,142909.6945,205295.2371,6212.676581,43548.79139,95216.32367,74681.0594,56215.26014,71171.65152,145749.5182,81675.91242,155511.7971,85789.13184,8570.403994,4255.679048,53461.21733,6327.087032,49512.19473
ENSMUSG00000060314,4.95306494,10.85897266,6.419433281,18.14303902,8.118554357,13.81079385,42.39798884,23.76908754,20.26957867,12.07301707,18.9034931,9.752719612,7.413102176,10.09792275,10.04988073,29.19156094,27.7732344,28.52279068,17.69243524,35.58643759
ENSMUSG00000025481,2861.880922,3538.93919,3745.097376,2966.38688,3666.880384,952.2178919,1282.842005,4064.513969,1535.200263,1759.367852,1806.142841,2904.684991,1504.036064,3474.947667,3901.587029,254.9793486,182.5748687,1749.397828,502.8734477,296.15154
ENSMUSG00000099590,5.943677928,7.601280862,20.5421865,6.047679673,16.23710871,7.268838869,3.634113329,1.320504863,2.643858088,2.195094013,10.31099624,4.876359806,3.294712078,27.76928757,24.56637511,2.382984567,0.455298925,5.546098188,2.721913113,0
ENSMUSG00000025484,858.8614605,1128.247259,788.3064069,1183.833296,703.6080442,476.8358298,741.3591191,790.9824131,498.8078925,1002.060417,830.035197,1649.835068,470.3201491,1418.758147,975.9550839,655.916502,533.1550406,696.4314725,392.6359666,350.4359363
ENSMUSG00000025485,757.8189358,743.8396272,612.413935,836.0917149,395.1029787,932.5920269,754.6842014,687.9830338,690.9282469,1156.814545,281.8338971,715.1994382,387.9523472,613.4488072,419.8616837,786.384907,610.5558578,591.0556069,790.0352811,497.0038064
ENSMUSG00000025486,1424.501477,1625.588207,2115.845209,914.7115506,1384.213518,508.0918369,627.4902348,2403.318851,1019.647936,947.1830668,1163.424075,1718.104105,796.4966449,1798.69249,917.8891064,148.3407893,94.7021763,831.1224284,288.52279,274.4377814
ENSMUSG00000025487,2255.625774,2582.263699,2628.115985,2393.369231,2091.880839,2102.148201,2490.579002,3612.901306,2480.820172,3042.400303,986.41864,1664.464147,1232.222317,1835.29746,2434.304443,1733.621272,1288.040658,1807.23571,1833.208482,1145.400763
