"","KW_Pval","Pval_d1t1_vs_d1t2","log2FoldChange_d1t1_vs_d1t2","Pval_d1t1_vs_d2t1","log2FoldChange_d1t1_vs_d2t1","Pval_d1t1_vs_d2t2","log2FoldChange_d1t1_vs_d2t2","Pval_d1t2_vs_d2t1","log2FoldChange_d1t2_vs_d2t1","Pval_d1t2_vs_d2t2","log2FoldChange_d1t2_vs_d2t2","Pval_d2t1_vs_d2t2","log2FoldChange_d2t1_vs_d2t2"
"ENSMUSG00000101249",0.00582936978491317,1,0.825806203302933,1,-1.13450737410967,0.287752883586541,1.62869799416928,0.0719772847482238,-1.9603135774126,1,0.80289179086635,0.00551751290674228,2.76320536827895
"ENSMUSG00000101514",0.00211157327602346,0.726683205941114,2.14026822499812,1,-2.13719152231995,0.170475483597854,2.7373715159457,0.0276707006946457,-4.27745974731807,1,0.597103290947579,0.00307202713313942,4.87456303826565
"ENSMUSG00000117310",0.0152533498316099,1,-0.797904555226649,0.112067095784955,2.99966967420775,1,0.0144399541492856,0.0138785012176004,3.7975742294344,1,0.812344509375935,0.170475483597854,-2.98522972005847
"ENSMUSG00000026064",0.471687476293074,1,-0.518205523549349,1,0.813659926671164,1,-0.411227432491041,1,1.33186545022051,1,0.106978091058308,0.806885880862891,-1.22488735916221
"ENSMUSG00000086727",0.815074982676979,1,-1.18698545374223,1,0.134807099004144,1,0.436658131475803,1,1.32179255274637,1,1.62364358521803,1,0.301851032471659
"ENSMUSG00000099796",0.00464662466422111,0.199265173218469,-Inf,1,-Inf,0.00567084210476093,-Inf,0.967278728576799,4.72339968603284,1,-1.27665627583326,0.0596510014960387,-6.0000559618661
"ENSMUSG00000042215",0.0771761944571736,0.652856580243274,-1.09632433983341,1,-0.139636752901866,0.726683205941114,-1.28147501959396,0.22261320515682,0.956687586931542,1,-0.185150679760548,0.253417121756203,-1.14183826669209
"ENSMUSG00000042182",0.109134746207843,1,-0.791022132394109,0.0836405535631547,-2.31183592934792,1,-0.750306395733651,1,-1.52081379695381,1,0.0407157366604581,1,1.56152953361427
"ENSMUSG00000026131",0.098261111577453,0.893766746843301,-0.893929748114304,1,-0.524386922256626,0.0969415875670879,-0.906940464974976,1,0.369542825857678,1,-0.0130107168606716,0.585092953900933,-0.38255354271835
"ENSMUSG00000096992",0.00405850366204934,0.405666491297075,-Inf,1,-Inf,0.00500749188349952,-Inf,1,1.90296393755634,0.780957157119786,-1.86002845312757,0.0308045848080596,-3.76299239068391
