"","Pval","log2FoldChange_GroupX_vs_GroupY"
"ENSMUSG00000027422",0.685714285714286,0.0329850112062706
"ENSMUSG00000083674",0.2,-0.0448147613087765
"ENSMUSG00000037259",0.342857142857143,-0.105366772069999
"ENSMUSG00000027430",0.114285714285714,0.196896953516673
"ENSMUSG00000068154",0.885714285714286,-0.140052645501519
"ENSMUSG00000037110",0.342857142857143,-0.0288431639139915
"ENSMUSG00000068130",0.0571428571428571,-0.724393520524015
"ENSMUSG00000027457",0.342857142857143,-0.0616985639402769
"ENSMUSG00000032715",0.0571428571428571,1.16174583713412
"ENSMUSG00000027472",0.885714285714286,0.107566402945317
"ENSMUSG00000003283",0.342857142857143,0.254358327379985
"ENSMUSG00000027488",0.0285714285714286,0.236776600517335
"ENSMUSG00000027593",0.685714285714286,0.240023666361777
"ENSMUSG00000074656",0.342857142857143,-0.093827543543875
"ENSMUSG00000047459",0.885714285714286,0.0166677737969863
"ENSMUSG00000103285",0.885714285714286,0.584629501079062
"ENSMUSG00000027642",0.685714285714286,0.0246690401395144
"ENSMUSG00000044349",0.485714285714286,0.195104837766726
"ENSMUSG00000017009",0.685714285714286,-0.0867049751331084
"ENSMUSG00000017667",0.685714285714286,-0.0402226755240881
"ENSMUSG00000039621",0.685714285714286,-0.103344644487887
"ENSMUSG00000039536",0.685714285714286,-0.0812640137936138
"ENSMUSG00000017999",0.114285714285714,0.181988051086204
"ENSMUSG00000038914",0.685714285714286,-0.0530535202920282
"ENSMUSG00000016356",0.342857142857143,0.24691393624883
"ENSMUSG00000027582",0.342857142857143,0.149139624222587
"ENSMUSG00000039545",0.2,0.67503950639947
"ENSMUSG00000031145",0.685714285714286,0.149304883498304
"ENSMUSG00000031149",0.885714285714286,-0.072588421768402
"ENSMUSG00000031169",0.0285714285714286,0.265832788497812
"ENSMUSG00000079697",0.2,-1.26918832262652
"ENSMUSG00000001128",0.685714285714286,0.251029136318838
"ENSMUSG00000009406",0.685714285714286,-0.0554468662532481
"ENSMUSG00000036572",0.342857142857143,0.0474971013570531
"ENSMUSG00000036551",0.685714285714286,-0.147556158918333
"ENSMUSG00000085396",1,0.106531458866483
"ENSMUSG00000090546",0.114285714285714,0.97684806650702
"ENSMUSG00000031328",1,0.114137739387567
"ENSMUSG00000031398",0.885714285714286,0.111293134938041
"ENSMUSG00000031402",0.342857142857143,0.0266747918119652
"ENSMUSG00000047996",0.2,-0.466082215009239
"ENSMUSG00000082776",0.2,0.617827014869716
"ENSMUSG00000057421",0.342857142857143,0.198669457872452
"ENSMUSG00000015668",0.342857142857143,0.134369184463899
"ENSMUSG00000079487",0.342857142857143,-0.0424468602324163
"ENSMUSG00000031310",0.685714285714286,0.00675166242302096
"ENSMUSG00000079480",0.685714285714286,0.183415195636026
"ENSMUSG00000085568",0.114285714285714,0.63854656942245
"ENSMUSG00000031232",0.685714285714286,-0.0347937984275709
"ENSMUSG00000031245",0.485714285714286,-0.0976340790282263
