,Sample_600,Sample_601,Sample_602,Sample_616,Sample_617,Sample_603,Sample_604,Sample_605,Sample_606,Sample_621,Sample_607,Sample_608,Sample_609,Sample_610,Sample_623,Sample_611,Sample_612,Sample_613,Sample_614,Sample_615
ENSMUSG00000056708,99.82040297,117.0877898,56.28704023,78.54658498,35.42560968,81.65959055,45.36571777,48.05998869,65.90112082,16.22783732,31.37496103,35.26962761,39.13130544,17.38677021,54.87900766,270.964404,104.3613074,15.40489649,115.6436429,46.38745687
ENSMUSG00000026471,14.26005757,9.006753062,128.8676974,22.58214318,6.702142372,0,0,0,9.414445831,15.1459815,44.53220275,29.97918347,31.92290707,56.55937296,10.28981394,23.72957412,2.427007149,0,1.292107742,33.26544674
ENSMUSG00000026470,87.46168641,43.2324147,114.0553184,173.7843193,74.20229054,50.3567475,70.56889431,41.19427602,132.9790474,49.76536779,50.60477586,84.64710626,58.69695816,122.7547872,5.144906968,187.9730139,119.4087517,0,171.8503297,168.7444461
ENSMUSG00000026150,55.13888926,106.2796861,170.3423586,186.5481393,144.5747854,126.5723653,0,171.6428168,98.85168123,81.13918661,145.7417545,68.77577384,144.1679674,175.124577,164.637023,96.03644396,174.7445147,0,145.6851479,191.4202004
ENSMUSG00000026469,240.5196376,129.6972441,373.271951,385.8600987,249.8941656,174.2071265,60.4876237,6.865712671,254.1900375,311.5744766,534.386433,352.6962761,186.3885864,343.545821,246.9555345,228.2263228,162.609479,35.94475848,224.5037201,446.3785552
ENSMUSG00000018417,521.9181069,1165.473846,1355.332679,1033.869425,1056.544872,1052.047725,378.0476481,336.4199209,1278.011022,1267.935023,685.1886651,1204.457783,790.8642784,763.551535,776.8809522,715.3659047,655.2919302,41.07972397,878.9562913,1355.13531
ENSMUSG00000026490,404.0349644,124.2931923,247.3667294,473.2431745,484.4691486,141.5432903,231.8692242,137.3142534,342.4504671,342.9482954,425.0801172,405.6007175,251.2641718,246.9759286,207.5112477,382.5306739,319.3941408,410.7972397,231.6103127,390.3222488
ENSMUSG00000033701,83.65900439,73.85537511,186.6359755,86.40124348,116.3300426,179.6510992,186.5035064,425.6741856,111.7965442,96.28516812,152.8264231,72.3027366,94.73895001,227.703846,248.6705035,167.4736435,158.7262675,5.134965497,218.3662084,182.6721937
ENSMUSG00000033684,1789.161889,2968.625809,2968.400753,1635.732632,2281.122029,2063.265654,2243.082712,3364.199209,2165.322541,2391.983221,2176.005362,2346.311977,2598.112727,2523.804909,1716.683958,2080.251252,1540.664138,3127.193987,1930.085939,2480.17502
ENSMUSG00000033671,400.2322824,180.1350612,133.3114111,548.8442626,368.139106,470.9036388,231.8692242,288.3599322,524.8553551,321.311179,450.3825051,394.1380885,400.5809952,283.4253023,406.4476505,274.5673236,392.2043552,1263.201512,87.21727257,524.3048786
ENSMUSG00000026489,279.4971283,1442.881841,1102.040998,377.0236079,344.2028832,960.8611821,1749.100452,5142.41879,364.809776,783.2636148,388.6446786,791.8031398,352.181749,1128.045272,1159.319037,333.2079466,1156.226206,3876.89895,884.1247223,853.8515014
